Collection Date,App Name,App Developer,App Category,App Pop Rank,App Download,App Review Count,App Charge,App Limit
2021-07-05 21:30,카트라이더 러쉬플러스,NEXON Company,자동차 경주,88,"10,000,000+","390,506",Free,전체이용가
2021-07-05 21:30,스도쿠 - 무료 두뇌훈련 스도쿠 퍼즐,Easybrain,퍼즐,89,"50,000,000+","1,726,569",Free,12세 이상
2021-07-05 21:30,아스팔트 9: 레전드,Gameloft SE,자동차 경주,90,"50,000,000+","2,147,011",Free,전체이용가
2021-07-05 21:30,꿈의 정원 (Gardenscapes),Playrix,캐주얼 게임,91,"100,000,000+","10,783,365",Free,만 3세 이상
2021-07-05 21:30,GIRL GLOBE,AIRCAP Inc.,시뮬레이션,92,"100,000+","1,279",Free,전체이용가
2021-07-05 21:30,파이널삼국지2,Gamepub,롤플레잉,93,"500,000+","5,290",Free,12세 이상
2021-07-05 21:30,Star Art: Drawing & Relaxing,SayGames Ltd,퍼즐,94,"500,000+","4,503",Free,전체이용가
2021-07-05 21:30,스펠마스터 : 실시간 마법 디펜스 대전,Rawhand Games,전략,95,"1,000+",249,Free,전체이용가
2021-07-05 21:30,고양이 가구점 : 냥냥 타워 만들기,"mafgames (Idle Games, Tycoon Games)",시뮬레이션,96,"100,000+","14,452",Free,전체이용가
2021-07-05 21:30,타일 연결 - 무료 타일 퍼즐 & 매치 브레인 게임,Higgs Studio,보드,97,"10,000,000+","133,269",Free,전체이용가
2021-07-05 21:30,FIFA Mobile,NEXON Company,스포츠,98,"1,000,000+","48,501",Free,전체이용가
2021-07-05 21:30,메이크업 스튜디오 3D,Kwalee Ltd,캐주얼 게임,99,"5,000,000+","36,113",Free,전체이용가
2021-07-05 21:30,Rider,Ketchapp,아케이드,100,"50,000,000+","1,090,974",Free,전체이용가
